sku_prefix,Lot,Date,Amt,Notes
GRE-BC,AV19,1/7/2025,5K seeds,
MEL-PF,UO19,1/8/2025,~500 seeds,
AST-TS,MP20,1/8/2025,,
LET-QH,UO21,1/8/2025,,
PEP-SG,UO21,1/8/2025,,
AMA-HB,UO15,1/8/2025,,
SCA-GY,UO20,1/8/2025,,
AMA-CF,UO16,1/8/2025,,
LET-LB,AV21,1/8/2025,,
LET-BI,UO21,1/8/2025,,
CAB-M2,MP21,1/8/2025,~500 seeds,
LET-SB,AV21,1/8/2025,,
PEP-BA,UO23,1/8/2025,,
ONI-RL,UO19,1/8/2025,,
LET-AY,TR21,1/8/2025,,
LET-FB,UO21,1/8/2025,,
FEN-FI,UO22,1/8/2025,,
PEP-YN,UO23,1/8/2025,~200 seeds,
AST-TC,UO21,1/8/2025,,
PEP-LY,UO22,1/8/2025,,
PEP-CZ,UO22,1/8/2025,,
LET-ME,UO21,1/8/2025,,
PEP-AS,UO21,1/8/2025,,60% germ
ONI-RM,TR20,1/8/2025,,
SQU-BB,TR21,1/8/2025,~500 seeds,
MEL-SS,UO21,1/8/2025,,
GRE-GF,UO18,1/8/2025,,
VRB-AS,UO17,1/8/2025,,
VRB-PM,UO17,1/8/2025,,
SAP-WB,UO19,1/8/2025,,
SAL-TV,UO18,1/8/2025,,
FOX-AB,UO17,1/8/2025,,
PEP-MA,UO24,1/14/2025,150 seeds,
BEA-AJ,UO21,1/16/2025,1 lb,
STR-SR,UO20,1/20/2025,.17 lb,
SWP-MR,LS23,1/23/2025,200 seeds,
SWP-AB,LS24,1/24/2025,200 seeds,
SWP-RE,LS24,1/29/2025,200 seeds,
SQU-ZE,WO21,1/30/2025,200 seeds,
SWP-EM,LS24,1/30/2025,400 seeds,
HER-IL,UO22,2/5/2025,300 seeds,
SWP-WF,FS24,2/11/2025,400 seeds,
SWP-PO,UO24,2/18/2025,400 seeds,
CAR-SN,TR21,2/20/2025,1 oz,
SWP-HS,FS23,3/4/2025,400 seeds,
PEP-PM,UO21,3/20/2025,100,
BEA-JC,UO20,3/24/2025,5 lbs,
SWP-AP,LS23,3/25/2025,400 seeds,
CLB-BB,UO17,4/14/2025,> 500 seeds,
GRE-WC,UO19,4/14/2025,> 500 seeds,
PEP-JN,TR21,4/23/2025,250 seeds,
TOM-CA,UO22,4/24/2025,100 seeds,
BEA-SE,UO22,6/13/2025,3 lb,
FOC-BE,UO23,6/24/2025,100 seeds,
LAR-WC,UO23,8/7/2025,450 seeds,saved due to crop failure 2025
POP-ZI,TR20,10/14/2025,~500 seeds,
