sku,lineitem_name,category
BOOK-SN,2024 Stella Natura Biodynamic Planting Calendar,Misc
TOO-PC,Taglia Puntarelle,Misc
gift-cert-10,Uprising Seeds Gift Certificate - $10,Misc
gift-cert-25,Uprising Seeds Gift Certificate - $25,Misc
gift-cert-50,Uprising Seeds Gift Certificate - $50,Misc
gift-cert-100,Uprising Seeds Gift Certificate - $100,Misc
gift-cert-150,Uprising Seeds Gift Certificate - $150,Misc
MER-GT-uS,Gusto Italiano Project Tee - Unisex S,Misc
MER-GT-uM,Gusto Italiano Project Tee - Unisex M,Misc
MER-GT-uL,Gusto Italiano Project Tee - Unisex L,Misc
MER-GT-uXL,Gusto Italiano Project Tee - Unisex XL,Misc
MER-GT-wS,Gusto Italiano Project Tee - Womens S,Misc
MER-GT-wM,Gusto Italiano Project Tee - Womens M,Misc
MER-GT-wL,Gusto Italiano Project Tee - Women's L,Misc
MER-GT-wXL,Gusto Italiano Project Tee - Women's XL,Misc
GIF-GIF-pkt,Grow it Forward! - Pkt,Misc
GIF-GIF-5pkt,Grow it Forward! - 5 Pkts,Misc
TOM-CH-pkts,Cherry Tomato Sampler - 7 Pkts,Seed
SFA-TS-pkts,Slow Foods Ark of Taste Sampler - 10 Pkts,Seed
PEA-SP-pkts,Snap Pea Succession Sampler - 3 Pkts,Seed
BEA-MF-pkts,Mangiafagioli Bean Sampler - 4 Pkts,Seed
SGB-pkts,5-Packet Garden Bundle - 5 Pkts,Seed
