sku_prefix,category
BEA-CA,Vegetables
BEA-HP,Vegetables
BEA-HR,Vegetables
BEA-HU,Vegetables
BEA-IC,Vegetables
BEA-JC,Vegetables
BEA-JG,Vegetables
BEA-KY,Vegetables
BEA-LC,Vegetables
BEA-MX,Vegetables
BEA-PU,Vegetables
BEA-RO,Vegetables
BEA-RL,Vegetables
BEA-TE,Vegetables
BEA-VE,Vegetables
BEA-ZO,Vegetables
BEA-FL,Vegetables
BEA-BP,Vegetables
BEA-DR,Vegetables
BEA-EM,Vegetables
BEA-PR,Vegetables
BEA-TP,Vegetables
FAV-AQ,Vegetables
FAV-FI,Vegetables
FAV-KA,Vegetables
FAV-MP,Vegetables
GAR-BK,Vegetables
BEA-CI,Vegetables
BEA-TA,Vegetables
BEA-AT,Vegetables
BEA-AJ,Vegetables
BEA-BG,Vegetables
BEA-PA,Vegetables
BEA-PE,Vegetables
BEA-SO,Vegetables
BEA-FO,Vegetables
BEA-MV,Vegetables
BEA-TV,Vegetables
BEA-SE,Vegetables
BEE-3B,Vegetables
BEE-BO,Vegetables
BEE-CH,Vegetables
BEE-CR,Vegetables
BEE-FK,Vegetables
BEE-LU,Vegetables
BEE-SH,Vegetables
BEE-TG,Vegetables
GRE-PC,Vegetables
BRO-UM,Vegetables
BRO-SO,Vegetables
SMA-FC,Vegetables
BUR-TK,Vegetables
CAB-DO,Vegetables
CAB-FK,Vegetables
CAB-JK,Vegetables
CAB-M2,Vegetables
CAB-NS,Vegetables
CAB-MA,Vegetables
CRD-GN,Vegetables
CAR-DR,Vegetables
CAR-RA,Vegetables
CAR-SN,Vegetables
CAR-TO,Vegetables
CAR-YE,Vegetables
CAU-AY,Vegetables
CAU-PR,Vegetables
CHI-IS,Vegetables
CHI-IN,Vegetables
SMA-MD,Vegetables
CHI-BO,Vegetables
COL-CG,Vegetables
COL-CH,Vegetables
COR-FL,Vegetables
COR-RC,Vegetables
COR-PM,Vegetables
COR-AB,Vegetables
COR-DB,Vegetables
COR-TU,Vegetables
CUC-LE,Vegetables
CUC-SA,Vegetables
CUC-SH,Vegetables
CUC-SS,Vegetables
CUC-SM,Vegetables
CUC-VO,Vegetables
CUC-CE,Vegetables
EGG-DI,Vegetables
EGG-VI,Vegetables
CHI-MA,Vegetables
CHI-BQ,Vegetables
FEN-FI,Vegetables
GRE-AS,Vegetables
GRE-RU,Vegetables
GRE-MZ,Vegetables
GRE-RS,Vegetables
GRE-TA,Vegetables
GRE-WC,Vegetables
MIX-MI,Vegetables
MIX-SP,Vegetables
GRE-GF,Vegetables
GRE-GW,Vegetables
GRE-ES,Vegetables
TGC-AM,Vegetables
KAL-3K,Vegetables
KAL-BL,Vegetables
KAL-DB,Vegetables
KAL-DW,Vegetables
KAL-RF,Vegetables
LEE-BW,Vegetables
LEE-LN,Vegetables
LEE-NE,Vegetables
LEN-BL,Vegetables
LET-WD,Vegetables
LET-DV,Vegetables
LET-MQ,Vegetables
LET-SB,Vegetables
LET-AB,Vegetables
LET-TB,Vegetables
LET-RG,Vegetables
LET-SU,Vegetables
LET-AY,Vegetables
LET-CR,Vegetables
LET-EM,Vegetables
LET-AD,Vegetables
LET-HR,Vegetables
LET-LB,Vegetables
LET-OD,Vegetables
LET-ME,Vegetables
LET-RV,Vegetables
LET-RR,Vegetables
LET-BI,Vegetables
LET-FB,Vegetables
LET-GA,Vegetables
LET-GR,Vegetables
LET-IT,Vegetables
LET-MA,Vegetables
LET-OS,Vegetables
LET-BG,Vegetables
LET-CI,Vegetables
LET-ER,Vegetables
LET-FT,Vegetables
LET-JE,Vegetables
LET-LG,Vegetables
LET-PI,Vegetables
LET-MX,Vegetables
LET-QH,Vegetables
MEL-CL,Vegetables
MEL-MO,Vegetables
MEL-ER,Vegetables
MEL-GI,Vegetables
MEL-PF,Vegetables
MEL-SS,Vegetables
ONI-RM,Vegetables
ONI-IS,Vegetables
ONI-NY,Vegetables
ONI-RJ,Vegetables
ONI-SR,Vegetables
ONI-AC,Vegetables
ONI-RL,Vegetables
ONI-SS,Vegetables
PEA-SS,Vegetables
COW-FL,Vegetables
PEA-RV,Vegetables
PEA-SA,Vegetables
PEA-MA,Vegetables
PEA-CA,Vegetables
PEA-GS,Vegetables
PEA-HL,Vegetables
PEA-SR,Vegetables
PEA-WX,Vegetables
PEP-BA,Vegetables
PEP-CS,Vegetables
PEP-BR,Vegetables
PEP-BY,Vegetables
PEP-CZ,Vegetables
PEP-HP,Vegetables
PEP-PA,Vegetables
PEP-SG,Vegetables
PEP-SP,Vegetables
PEP-TM,Vegetables
PEP-AS,Vegetables
PEP-BP,Vegetables
PEP-CC,Vegetables
PEP-DH,Vegetables
PEP-EE,Vegetables
PEP-JN,Vegetables
PEP-YN,Vegetables
PEP-MP,Vegetables
PEP-OK,Vegetables
PEP-PM,Vegetables
PEP-SR,Vegetables
RAD-FB,Vegetables
RAD-SO,Vegetables
RAD-GL,Vegetables
BRO-NO,Vegetables
BRO-SM,Vegetables
ONI-ER,Vegetables
GRE-BS,Vegetables
SPI-BE,Vegetables
SPI-WB,Vegetables
SPI-WG,Vegetables
SQU-YC,Vegetables
SQU-OD,Vegetables
ZUC-CR,Vegetables
ZUC-DS,Vegetables
CHA-RA,Vegetables
CHA-RH,Vegetables
TGC-DM,Vegetables
TOM-AF,Vegetables
TOM-BP,Vegetables
TOM-BL,Vegetables
TOM-CA,Vegetables
TOM-CE,Vegetables
TOM-AL,Vegetables
TOM-GA,Vegetables
TOM-GM,Vegetables
TOM-GZ,Vegetables
TOM-IH,Vegetables
TOM-JF,Vegetables
TOM-LA,Vegetables
TOM-MY,Vegetables
TOM-MA,Vegetables
TOM-MG,Vegetables
TOM-NE,Vegetables
TOM-RP,Vegetables
TOM-SH,Vegetables
TOM-ST,Vegetables
TOM-SL,Vegetables
TOM-VZ,Vegetables
TOM-BC,Vegetables
TOM-GS,Vegetables
TOM-GG,Vegetables
TOM-KO,Vegetables
TOM-PI,Vegetables
TOM-RF,Vegetables
TOM-SW,Vegetables
TOM-SO,Vegetables
TOM-YP,Vegetables
TOM-FI,Vegetables
TOM-NR,Vegetables
TOM-AN,Vegetables
WAT-BM,Vegetables
WAT-CO,Vegetables
WAT-JK,Vegetables
WHE-BE,Vegetables
WHE-EB,Vegetables
SQU-BI,Vegetables
SQU-BF,Vegetables
SQU-FU,Vegetables
SQU-BB,Vegetables
SQU-MG,Vegetables
SQU-PO,Vegetables
SQU-SM,Vegetables
SQU-ZE,Vegetables
SQU-ZM,Vegetables
PUM-HO,Vegetables
PUM-LP,Vegetables
PUM-ST,Vegetables
PUM-WL,Vegetables
HER-BC,Herbs
HER-GC,Herbs
HER-EC,Herbs
HER-IL,Herbs
HER-TU,Herbs
HER-PJ,Herbs
HER-GK,Herbs
HER-AH,Herbs
HER-HY,Herbs
HER-MT,Herbs
HER-MA,Herbs
HER-ME,Herbs
HER-MP,Herbs
HER-SC,Herbs
HER-BF,Herbs
ACH-DD,Flowers
ACH-LP,Flowers
AMA-CF,Flowers
AMA-EH,Flowers
AMA-HB,Flowers
AMA-LL,Flowers
AMA-OP,Flowers
AMA-SU,Vegetables
BAB-BB,Flowers
BAB-FB,Flowers
BFL-AB,Flowers
FLO-BO,Flowers
FLO-ED,Flowers
FLO-SA,Flowers
BUP-GG,Flowers
CAL-MX,Flowers
CAL-ZE,Flowers
CEL-RP,Flowers
CEL-SC,Flowers
CER-PG,Flowers
AST-HP,Flowers
AST-TC,Flowers
AST-HH,Flowers
CLE-VQ,Flowers
CLB-BL,Flowers
CLB-BB,Flowers
CLB-LS,Flowers
CRP-RO,Flowers
COS-DI,Flowers
COS-SP,Flowers
COS-VE,Flowers
CRA-SB,Flowers
DAT-SA,Flowers
ERY-BG,Flowers
FLA-OM,Flowers
FOX-AB,Flowers
FOX-CC,Flowers
FOX-YH,Flowers
FOX-WC,Flowers
GYP-CG,Flowers
JAC-BP,Flowers
LAR-BC,Flowers
LAR-EG,Flowers
LAR-SB,Flowers
LAR-WC,Flowers
MAL-PL,Flowers
MAR-FB,Flowers
MAR-GE,Flowers
MAR-PI,Flowers
MGL-GO,Flowers
VRB-AS,Flowers
VRB-PM,Flowers
NAS-AL,Flowers
NAS-TM,Flowers
NIC-LD,Flowers
NIC-LG,Flowers
NIC-PS,Flowers
NIC-OL,Flowers
NIG-BS,Flowers
NIG-EX,Flowers
NIG-BV,Flowers
NIG-DB,Flowers
GRS-BT,Flowers
GRS-FE,Flowers
PHA-BF,Flowers
POP-AG,Flowers
POP-CA,Flowers
POP-BS,Flowers
POP-CO,Flowers
POP-DF,Flowers
POP-FA,Flowers
POP-ZI,Flowers
POP-PM,Flowers
POP-FW,Flowers
POP-PA,Flowers
RUD-AS,Flowers
RUD-GW,Flowers
RUD-PG,Flowers
RUD-PR,Flowers
RUD-SH,Flowers
SAL-TH,Flowers
SAL-TV,Flowers
SAL-WS,Flowers
SCA-BK,Flowers
SCA-FB,Flowers
SCA-FM,Flowers
SCA-GY,Flowers
SCA-SB,Flowers
SCA-SM,Flowers
SCA-SK,Flowers
POP-MP,Flowers
STR-AP,Flowers
STR-MF,Flowers
STR-SR,Flowers
SUN-GA,Flowers
SUN-GS,Flowers
SUN-RE,Flowers
SUN-SO,Flowers
SUN-TA,Flowers
SUN-TG,Flowers
SUN-TO,Flowers
SWP-AP,Flowers
VET-AZ,Flowers
SWP-BR,Flowers
SWP-FN,Flowers
SWP-HS,Flowers
SWP-JJ,Flowers
SWP-KF,Flowers
SWP-LC,Flowers
SWP-LB,Flowers
SWP-MW,Flowers
SWP-MR,Flowers
SWP-NI,Flowers
SWP-SZ,Flowers
SWP-TL,Flowers
SWP-WR,Vegetables
SWP-WN,Flowers
ZIN-BE,Flowers
ZIN-QR,Flowers
ZIN-SR,Flowers
ZIN-ZL,Flowers
ZIN-ZP,Flowers
ZIN-OC,Flowers
SMA-VM,Vegetables
AST-TS,Flowers
COS-CH,Flowers
COS-XS,Flowers
GRE-BC,Vegetables
LAR-PB,Flowers
FMN-MR,Flowers
MIX-BR,Vegetables
DIA-SO,Flowers
SAP-WB,Flowers
SNA-RB,Flowers
FOC-FM,Flowers
FOC-ST,Flowers
FOC-FT,Flowers
CEL-MO,Vegetables
DID-LB,Flowers
MIG-AM,Flowers
MON-LB,Flowers
SMA-BE,Vegetables
SMA-BB,Vegetables
SMA-BT,Vegetables
SMA-DT,Vegetables
SMA-ET,Vegetables
SMA-FX,Vegetables
SMA-LT,Vegetables
SMA-RS,Vegetables
SMA-MT,Vegetables
SMA-MB,Vegetables
SMA-PA,Vegetables
SMA-PN,Vegetables
SMA-PQ,Vegetables
SMA-RR,Vegetables
SMA-RM,Vegetables
SMA-SH,Vegetables
SMA-VE,Vegetables
KAL-RR,Vegetables
HER-CM,Herbs
SMA-VG,Vegetables
SMA-AC,Vegetables
SMA-CA,Vegetables
SMA-SG,Vegetables
GRE-WA,Vegetables
LUP-DT,Vegetables
POP-LP,Flowers
TGC-QM,Vegetables
PEP-LY,Vegetables
PEP-BM,Vegetables
PEP-TU,Vegetables
TOM-PG,Vegetables
TOM-PR,Vegetables
ZIN-QP,Flowers
SWP-WF,Flowers
BEA-SB,Vegetables
SMA-LA,Vegetables
SMA-BO,Vegetables
SMA-SA,Vegetables
PEP-SU,Vegetables
PEP-RM,Vegetables
TOM-TA,Vegetables
TOM-CL,Vegetables
TOM-SB,Vegetables
TOM-MS,Vegetables
FOC-BE,Flowers
NIC-BQ,Flowers
SQU-SR,Vegetables
HER-VE,Herbs
BEA-GR,Vegetables
SMA-YS,Vegetables
SMA-GA,Vegetables
SMA-JO,Vegetables
SMA-SE,Vegetables
SMA-MR,Vegetables
SNA-OW,Flowers
STB-AW,Vegetables
TOM-KK,Vegetables
BEA-KM,Vegetables
COS-CW,Flowers
SWP-PO,Flowers
ZIN-IS,Flowers
HER-GP,Herbs
PAR-SS,Vegetables
BEA-BI,Vegetables
SWP-RE,Flowers
SWP-AB,Flowers
BEA-GI,Vegetables
SWP-EM,Flowers
